"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","140","Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1138,768,1684
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","141","Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1584,1090,2300
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","142","12, Srinagar, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1701,1194,2421
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","143","0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1427,986,2065
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","144","Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1905,1347,2694
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","145","0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1939,1356,2772
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","146","6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1691,1152,2481
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","147","Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2138,1499,3049
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","148","BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1845,1299,2619
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","149","300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1635,1139,2346
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","150","30/2, Sakamma Garden, Jayanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1314,915,1885
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","151","200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1986,1391,2833
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","152","1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2164,1541,3038
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","153","100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2170,1538,3060
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","154","0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad","1/1/2018 - 1/31/2018, Every day, Daily Average",858,529,1390
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","155","900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",812,501,1314
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","156","26, Gowda Muniswamy Garden, Ejipura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1026,608,1729
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","157","Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1337,828,2158
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","158","0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1229,777,1941
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","159","0 34th Main Road, 1st Phase, JP Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",2002,1367,2930
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","160","0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1756,1079,2855
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","161","1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1659,1055,2608
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","162","Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1512,1059,2158
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","163","100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1356,949,1936
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","164","725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1724,1211,2453
