sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
110,77,0,2115.83,466,2064.05,1.25
110,77,5,1679,191.51,1668.99,1.11
110,77,10,3767.76,623.99,3713.41,1.19
110,77,15,3639.55,597.79,3592.62,1.17
110,78,4,1634.17,233.49,1618.69,1.15
110,78,9,3840.94,626.03,3793.54,1.17
110,78,14,3221.29,317.36,3204.56,1.11
110,78,19,3292.3,376.49,3269.89,1.13
110,79,3,1477,277.29,1452.08,1.2
110,79,8,2749.21,470.59,2710.99,1.18
110,79,13,2849.49,519.35,2804.04,1.2
110,79,18,3260.89,825.73,3169.98,1.26
110,79,23,2082.65,641.65,2004.05,1.31
110,80,6,1903.44,321.09,1876.77,1.18
110,80,11,3221.76,511.97,3182.17,1.17
110,80,16,3131.38,733.97,3058.44,1.23
110,80,21,2460.04,382.83,2431.68,1.16
110,81,0,2211.29,504.1,2155.38,1.25
110,81,5,1880.27,284.15,1862.4,1.14
110,81,10,3553.29,644.08,3495.35,1.2
110,81,15,3247.12,583.55,3199.06,1.19
110,81,20,3002.25,370.85,2979.46,1.13
110,82,4,1133.55,301.88,1096.88,1.29
110,82,9,2147.55,448.34,2101.19,1.23
110,82,14,1879.22,447.55,1833.41,1.24
110,82,19,1992.99,519.69,1933.15,1.27
110,84,2,1168.67,277.56,1136.78,1.26
110,84,7,1649.55,463.99,1594.16,1.29
110,84,12,2268.79,499.75,2223.67,1.21
110,84,17,2327.57,648.61,2254.05,1.28
110,84,22,1635.49,634.51,1543.71,1.38
110,85,1,1419,353.95,1379.2,1.26
110,85,6,1667.06,343.18,1632.88,1.22
110,85,11,2861.39,506.96,2817.84,1.19
110,85,16,2689.45,605.83,2627.11,1.24
110,85,21,2158.86,416,2120.36,1.21
110,86,10,2510.71,618.74,2436.84,1.28
110,86,15,2345.37,576.36,2279.83,1.27
110,87,14,2615,477.34,2576.48,1.18
110,88,3,975.02,269.92,939.81,1.31
110,88,8,1573.34,383.86,1528.66,1.27
110,88,13,1524.07,417.6,1480.94,1.26
110,88,18,1765.34,495.63,1704.9,1.3
110,88,23,1152.76,494.62,1071.14,1.44
110,89,2,1262.08,376.57,1209.7,1.34
110,89,7,1801.98,339.77,1772.38,1.2
110,89,12,2442.23,555.32,2386.3,1.23
110,89,17,2522.22,545.03,2468.8,1.23
110,89,22,1757.33,412.33,1711.97,1.25
110,90,0,2009.67,489.83,1955.99,1.26
110,90,5,1864.92,306.05,1843.11,1.16
110,90,10,3398.43,597.79,3345.67,1.2
110,90,15,3040.06,573,2992.31,1.19
